SortID,Order,Family,Species common name,Species scientific name,PhyloName,duplicate,Source,Nest materials raw,Anthropogenic,Number-Mat,BodyMass,str-none,str-scrape,str-platform,str-cup,str-dome,str-ex,loc-artificial,loc-ground-water,loc-cavity,loc-rock,loc-veg,RangeSize,IUCN-category-2020,IUCN-simplified,HFI,Biome-simplified,str-scrapenone,Plastic,WoS-Papers,BrainSize
5688,PASSERIFORMES,Tyrannidae,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,Myiodynastes luteiventris,0,BoNA,"sticks, petioles, thin sticks, pine needles, walnut petioles, needles of Chihuahua pine, twigs, grasses",0,8,8.8,NA,NA,NA,NA,NA,NA,1,0,1,0,0,160,LC,Least-concerned,27.33895631,tropical-forests,NA,0,2,NA
5688,PASSERIFORMES,Tyrannidae,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,Myiodynastes luteiventris,1,HBW,"small twigs, dry inflorescences and leaf petioles and rachises often from walnut trees, coarse twigs, leaves",0,4,8.8,NA,NA,NA,NA,NA,NA,1,0,1,0,0,160,LC,Least-concerned,27.33895631,tropical-forests,NA,0,NA,NA
5689,PASSERIFORMES,Tyrannidae,Southern Streaked Flycatcher,Myiodynastes solitarius,Myiodynastes maculatus,0,HBW,"dry compound leaf petioles/rachises/flower stalks, finer leaf rachises, rhizhomes of epiphytic pteridophytes (genus Microgramma), Eucalyptus branches with green leaves, coarse materials",0,5,11,0,0,0,1,0,0,1,0,1,0,1,1298,LC,Least-concerned,19.6284201,tropical-forests,0,0,4,0.152108817
5690,PASSERIFORMES,Tyrannidae,Northern Streaked Flycatcher,Myiodynastes maculatus,Myiodynastes maculatus,1,HBW,"dry compound leaf petioles/rachises/flower stalks, finer leaf rachises, coarse materials",0,3,11,0,0,0,1,0,0,1,0,1,0,0,1298,LC,Least-concerned,16.40415971,tropical-forests,0,0,NA,0.152108817
5690,PASSERIFORMES,Tyrannidae,Northern Streaked Flycatcher,Myiodynastes maculatus,Myiodynastes maculatus,1,NBO,"dried petioles, rachies of compound leaves",0,2,11,0,0,0,1,0,0,1,0,1,0,0,1298,LC,Least-concerned,16.40415971,tropical-forests,0,0,NA,0.152108817
5691,PASSERIFORMES,Tyrannidae,Rusty-margined Flycatcher,Myiozetetes cayanensis,Myiozetetes cayanensis,0,HBW,"dried grass, small twigs",0,2,8.34,0,0,0,0,1,0,0,0,0,0,1,717,LC,Least-concerned,15.91134223,tropical-forests,0,0,7,NA
5692,PASSERIFORMES,Tyrannidae,Social Flycatcher,Myiozetetes similis,Myiozetetes similis,0,HBW,"dried grass, straw, weed stems, small twigs, bits of cotton, paper, strands of plastic from grain bags",1,7,8.69,0,0,0,0,1,0,1,0,0,0,1,1003,LC,Least-concerned,19.45978558,tropical-forests,0,1,14,-0.20422547
5692,PASSERIFORMES,Tyrannidae,Social Flycatcher,Myiozetetes similis,Myiozetetes similis,1,NBO,"dried grass, straw, weed stems, twigs, cotton, paper, pieces of plastic",1,7,8.69,0,0,0,0,1,0,1,0,0,0,1,1003,LC,Least-concerned,19.45978558,tropical-forests,0,1,NA,-0.20422547
5693,PASSERIFORMES,Tyrannidae,Grey-capped Flycatcher,Myiozetetes granadensis,Myiozetetes granadensis,0,HBW,"weed stems, straw, dried grasses",0,3,9.74,0,0,0,0,1,0,0,0,0,0,1,354,LC,Least-concerned,13.38288623,tropical-forests,0,0,2,NA
5694,PASSERIFORMES,Tyrannidae,Dusky-chested Flycatcher,Myiozetetes luteiventris,Myiozetetes luteiventris,0,HBW,"grasses, some longer strands of grass",0,2,11.4,0,0,0,0,1,0,0,0,0,0,1,387,LC,Least-concerned,7.369726641,tropical-forests,0,0,0,NA
